movie_id	imdb	title	year	path	start	end
aviator	tt0338751	The Aviator	2005	/fake/path/for/movies.mp4		
poltergeist	tt0084516	Poltergeist	1982	/fake/path/for/movies.mp4		
resident.evil.e_tt0432021	tt0432021	Resident Evil: Extinction	2007	/fake/path/for/movies.mp4		
firefox	tt0083943	Firefox	1982	/fake/path/for/movies.mp4		
dunkirk	tt5013056	Dunkirk	2017	/fake/path/for/movies.mp4		
fifty_shades_of_grey	tt2322441	Fifty Shades of Grey	2015	/fake/path/for/movies.mp4		
pacifier	tt0395699	The Pacifier	2005	/fake/path/for/movies.mp4		
regarding_henry	tt0102768	Regarding Henry	1991	/fake/path/for/movies.mp4		
monuments.men_tt2177771	tt2177771	The Monuments Men	2014	/fake/path/for/movies.mp4		
minority_report	tt0181689	Minority Report	2002	/fake/path/for/movies.mp4		
forgetting.sara_tt0800039	tt0800039	Forgetting Sarah Marshall	2008	/fake/path/for/movies.mp4		
robocop	tt0093870	RoboCop	1987	/fake/path/for/movies.mp4		
eternals_tt9032400	tt9032400	Eternals	2021	/fake/path/for/movies.mp4		
spiderman_3	tt0413300	Spider-Man 3	2007	/fake/path/for/movies.mp4		
million_dollar_baby	tt0405159	Million Dollar Baby	2005	/fake/path/for/movies.mp4		
mama_tt2023587	tt2023587	Mama	2013	/fake/path/for/movies.mp4		
eyes.wide.shut_tt0120663	tt0120663	Eyes Wide Shut	1999	/fake/path/for/movies.mp4		
matrix	tt0133093	The Matrix	1999	/fake/path/for/movies.mp4		
white.chicks_tt0381707	tt0381707	White Chicks	2004	/fake/path/for/movies.mp4		
hard.way_tt0102004	tt0102004	The Hard Way	1991	/fake/path/for/movies.mp4		
another_48_hrs	tt0099044	Another 48 Hrs.	1990	/fake/path/for/movies.mp4		
twilight_breaking_dawn_1	tt1324999	The Twilight Saga: Breaking Dawn - Part 1	2011	/fake/path/for/movies.mp4		
aladdin	tt6139732	Aladdin	2019	/fake/path/for/movies.mp4		
sliver_tt0108162	tt0108162	Sliver	1993	/fake/path/for/movies.mp4		
babe	tt0112431	Babe	1995	/fake/path/for/movies.mp4		
spy_kids_3	tt0338459	Spy Kids 3: Game Over	2003	/fake/path/for/movies.mp4		
popeye	tt0081353	Popeye	1980	/fake/path/for/movies.mp4		
isnt.it.romantic_tt2452244	tt2452244	Isn't It Romantic	2019	/fake/path/for/movies.mp4		
road_to_perdition	tt0257044	Road to Perdition	2002	/fake/path/for/movies.mp4		
american.hustle_tt1800241	tt1800241	American Hustle	2013	/fake/path/for/movies.mp4		
terabithia_fs	tt0398808	Bridge to Terabithia	2007	/fake/path/for/movies.mp4		
time_bandits	tt0081633	Time Bandits	1981	/fake/path/for/movies.mp4		
monster_in_law	tt0369735	Monster-in-Law	2005	/fake/path/for/movies.mp4		
rocketeer	tt0102803	The Rocketeer	1991	/fake/path/for/movies.mp4		
goosebumps_tt1051904	tt1051904	Goosebumps	2015	/fake/path/for/movies.mp4		
district_9	tt1136608	District 9	2009	/fake/path/for/movies.mp4		
against.all.odd_tt0086859	tt0086859	Against All Odds	1984	/fake/path/for/movies.mp4		
kingdom_tt0431197	tt0431197	The Kingdom	2007	/fake/path/for/movies.mp4		
knocked_up	tt0478311	Knocked Up	2007	/fake/path/for/movies.mp4		
daddy_day_care	tt0317303	Daddy Day Care	2003	/fake/path/for/movies.mp4		
you_me_and_dupree	tt0463034	You, Me and Dupree	2006	/fake/path/for/movies.mp4		
godzilla	tt0120685	Godzilla	1998	/fake/path/for/movies.mp4		
southpaw_tt1798684	tt1798684	Southpaw	2015	/fake/path/for/movies.mp4		
night.shift_tt0084412	tt0084412	Night Shift	1982	/fake/path/for/movies.mp4		
visit_tt3567288	tt3567288	The Visit	2015	/fake/path/for/movies.mp4		
cattle.annie.an_tt0082145	tt0082145	Cattle Annie and Little Britches	1981	/fake/path/for/movies.mp4		
stand_by_me	tt0092005	Stand by Me	1986	/fake/path/for/movies.mp4		
deathtrap_tt0083806	tt0083806	Deathtrap	1982	/fake/path/for/movies.mp4		
mummy_tt2345759	tt2345759	The Mummy	2017	/fake/path/for/movies.mp4		
con_air	tt0118880	Con Air	1997	/fake/path/for/movies.mp4		
tmnt_1990	tt0100758	Teenage Mutant Ninja Turtles	1990	/fake/path/for/movies.mp4		
zombieland.doub_tt1560220	tt1560220	Zombieland: Double Tap	2019	/fake/path/for/movies.mp4		
joe.versus.the._tt0099892	tt0099892	Joe Versus the Volcano	1990	/fake/path/for/movies.mp4		
